"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,1,0.58,1,4000,100,10,2,191,1.06193940187153,NA,0.0619394018715291,1,0.333333333333333
4,1,0.58,1,4000,100,10,3,124,1.0744246707862,0.0721410350281184,0.0744246707861975,1,0.333333333333333
4,1,0.58,1,4000,100,10,4,91,1.54634697223718,2.73300355294951,0.546346972237183,0.666666666666667,0.333333333333333
4,1,0.58,1,4000,100,10,5,71,1.29316336497999,1.74620633977635,0.293163364979991,0.333333333333333,0.333333333333333
4,1,0.58,1,4000,100,10,6,57,0.401593705214468,0.111399714839103,-0.598406294785532,1,0
4,1,0.58,1,4000,100,10,7,48,0.803091355771937,0.12416451742118,-0.196908644228063,1,0
4,1,0.58,1,4000,100,10,8,41,0.693201472251264,0.226810142075217,-0.306798527748736,0.666666666666667,0.333333333333333
4,1,0.58,1,4000,100,10,9,35,0.566466203080354,0.0356455517314337,-0.433533796919646,1,0.333333333333333
4,1,0.58,1,4000,100,10,10,31,1.11415398150542,0.178316630375287,0.114153981505424,1,0.666666666666667
4,1,0.58,1,4000,100,10,11,27,1.51110680654364,0.383692181372758,0.511106806543642,0.666666666666667,1
4,1,0.58,1,4000,100,10,12,24,0.909074412545515,0.421107291699022,-0.0909255874544845,1,0.333333333333333
4,1,0.58,1,4000,100,10,13,21,0.793594632163438,0.00700271752747982,-0.206405367836562,1,0
4,1,0.58,1,4000,100,10,14,19,0.68806702463066,0.657247032999899,-0.31193297536934,1,0.333333333333333
4,1,0.58,1,4000,100,10,15,17,1.24718349938702,0.250011293918152,0.24718349938702,0.666666666666667,0.666666666666667
4,1,0.58,1,4000,100,10,16,16,1.0012882221653,0.00514807578029388,0.00128822216529545,1,0.666666666666667
4,1,0.58,1,4000,100,10,17,14,1.03068602528425,0.00468267791621283,0.030686025284246,1,0.666666666666667
4,1,0.58,1,4000,100,10,18,13,0.859291973746342,0.257220767251653,-0.140708026253658,1,0.333333333333333
4,1,0.58,1,4000,100,10,19,12,1.28781972113267,0.320375852656355,0.287819721132674,1,1
4,1,0.58,1,4000,100,10,20,11,0.565787126726447,0.0605418042298938,-0.434212873273553,1,0.333333333333333
4,1,0.58,1,4000,100,10,21,10,0.87816673177071,0.177544151691532,-0.12183326822929,1,0.666666666666667
4,1,0.58,1,4000,100,10,22,9,0.878237296024815,0.0988973677369662,-0.121762703975185,1,0.666666666666667
4,1,0.58,1,4000,100,10,23,8,1.38154412178927,0.0591917747987456,0.381544121789271,1,1
4,1,0.58,1,4000,100,10,24,7,1.50628143742595,0.14645210541456,0.506281437425946,0.666666666666667,1
4,1,0.58,1,4000,100,10,25,7,0.571775036809444,0.0194338158603301,-0.428224963190556,1,0.333333333333333
4,1,0.58,1,4000,100,10,26,6,0.973306570629986,0.351956225908651,-0.0266934293700144,0.333333333333333,0.666666666666667
4,1,0.58,1,4000,100,10,27,5,0.953282245289997,0.115812068164816,-0.0467177547100029,1,0.666666666666667
4,1,0.58,1,4000,100,10,28,5,1.04158316299102,0.153997827111662,0.0415831629910202,1,1
4,1,0.58,1,4000,100,10,29,4,0.67504232591188,0.0333303205531555,-0.32495767408812,1,0.333333333333333
4,1,0.58,1,4000,100,10,30,4,1.26514192781022,0.179448498651343,0.265141927810218,0.666666666666667,1
4,1,0.58,1,4000,100,10,31,3,1.11901744254533,0.0187988737746489,0.119017442545326,1,1
4,1,0.58,1,4000,100,10,32,3,0.734858834867836,0.0128489202115228,-0.265141165132164,1,0.666666666666667
4,1,0.58,1,4000,100,10,33,3,0.716114381477085,0.06407844272281,-0.283885618522915,1,0.666666666666667
4,1,0.58,1,4000,100,10,34,2,0.833304438996366,0.096704483563687,-0.166695561003634,1,0.333333333333333
4,1,0.58,1,4000,100,10,35,2,1.15365145644089,0.0715958275155196,0.153651456440888,1,1
4,1,0.58,1,4000,100,10,36,2,0.956112636262347,0.18101922751805,-0.0438873637376528,1,0.666666666666667
