"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,1,4,5000,50,10,2,246,0.694471878364812,2.85898227134814
4,1,1,4,5000,50,10,3,162,0.835728179049815,0.998405228201644
4,1,1,4,5000,50,10,4,121,1.21768684218891,1.16352300440436
4,1,1,4,5000,50,10,5,96,0.948938141412812,1.19874045466243
4,1,1,4,5000,50,10,6,79,1.05654476601439,0.815690496211006
4,1,1,4,5000,50,10,7,67,0.975358285494778,0.400301221261074
4,1,1,4,5000,50,10,8,58,0.947092272749108,0.580154421836639
4,1,1,4,5000,50,10,9,51,0.976948050115695,0.28998289514609
4,1,1,4,5000,50,10,10,46,1.021612620052,0.512779628751456
4,1,1,4,5000,50,10,11,41,1.00726362936761,0.305189475142589
4,1,1,4,5000,50,10,12,37,1.1922939633488,0.470980175657907
4,1,1,4,5000,50,10,13,34,0.898627475840525,0.273029761405748
4,1,1,4,5000,50,10,14,31,1.0267005516554,0.442669397514387
4,1,1,4,5000,50,10,15,29,1.13292463971767,0.333688068919018
4,1,1,4,5000,50,10,16,27,0.979361366001852,0.351884668073586
4,1,1,4,5000,50,10,17,25,1.07428845195932,0.437486065430684
4,1,1,4,5000,50,10,18,23,0.825114649920787,0.249749986308003
4,1,1,4,5000,50,10,19,22,1.00172095119426,0.459622104642166
4,1,1,4,5000,50,10,20,21,0.76763459219308,0.318383132827555
4,1,1,4,5000,50,10,21,19,0.987107681386465,0.229473590543785
4,1,1,4,5000,50,10,22,18,1.09094849004626,0.262929146774223
4,1,1,4,5000,50,10,23,17,1.09810396883568,0.294487746810858
4,1,1,4,5000,50,10,24,16,0.887515115553705,0.286758409008951
4,1,1,4,5000,50,10,25,16,1.08109462236432,0.228327047272189
4,1,1,4,5000,50,10,26,15,1.08845547510304,0.216055777904321
4,1,1,4,5000,50,10,27,14,1.09636165969065,0.103131547322055
4,1,1,4,5000,50,10,28,13,1.14725100455052,0.144504458681389
4,1,1,4,5000,50,10,29,13,0.850835298735766,0.158781443272242
4,1,1,4,5000,50,10,30,12,0.954676719126901,0.092729989829459
4,1,1,4,5000,50,10,31,12,1.08830906222582,0.17975474822945
4,1,1,4,5000,50,10,32,11,0.911584115158746,0.279430737958088
4,1,1,4,5000,50,10,33,11,1.03343804952991,0.1732592343415
4,1,1,4,5000,50,10,34,10,0.908713539685513,0.179997487073856
4,1,1,4,5000,50,10,35,10,1.045912746231,0.197263360040923
4,1,1,4,5000,50,10,36,9,0.980779656828272,0.142592659250006
4,1,1,4,5000,50,10,37,9,0.961253506674569,0.157076487398215
4,1,1,4,5000,50,10,38,9,0.849552137290973,0.195274964168216
4,1,1,4,5000,50,10,39,8,1.02989314120733,0.156048076477719
4,1,1,4,5000,50,10,40,8,1.02639019655941,0.199300548721774
4,1,1,4,5000,50,10,41,8,1.02334650708768,0.0917758990441391
4,1,1,4,5000,50,10,42,7,0.907349519560284,0.163221412367918
4,1,1,4,5000,50,10,43,7,1.09919615241677,0.196086576509183
4,1,1,4,5000,50,10,44,7,1.10242104351911,0.115690988534669
4,1,1,4,5000,50,10,45,7,0.96930479562472,0.119828472447392
4,1,1,4,5000,50,10,46,6,1.07926764402957,0.0668559368352986
4,1,1,4,5000,50,10,47,6,1.02826950832227,0.181903621492505
4,1,1,4,5000,50,10,48,6,1.02480753296902,0.165703756927197
4,1,1,4,5000,50,10,49,6,1.0923162690126,0.109155587339716
4,1,1,4,5000,50,10,50,6,0.921315406754586,0.0953668120707131
4,1,1,4,5000,50,10,51,5,0.996008642649057,0.0776605182969529
4,1,1,4,5000,50,10,52,5,1.02734663779775,0.149677567844684
4,1,1,4,5000,50,10,53,5,0.939726204476203,0.179845291517794
4,1,1,4,5000,50,10,54,5,0.88185067824937,0.106173577347234
4,1,1,4,5000,50,10,55,5,1.06386730436357,0.124981304593636
4,1,1,4,5000,50,10,56,4,1.04558628882122,0.113319129507171
4,1,1,4,5000,50,10,57,4,0.811397212143798,0.114161971665522
4,1,1,4,5000,50,10,58,4,0.962021642183379,0.147959546270795
4,1,1,4,5000,50,10,59,4,1.03739549707298,0.162281469376148
4,1,1,4,5000,50,10,60,4,1.02119154777478,0.124657343821347
4,1,1,4,5000,50,10,61,4,0.9282649767986,0.0751071508963955
4,1,1,4,5000,50,10,62,4,1.00155098144519,0.117925473356195
4,1,1,4,5000,50,10,63,3,1.10820097789513,0.138519159704981
4,1,1,4,5000,50,10,64,3,1.05587565531513,0.109931049751947
4,1,1,4,5000,50,10,65,3,1.11625762479678,0.210510893274606
4,1,1,4,5000,50,10,66,3,1.03830797604386,0.185909237575784
4,1,1,4,5000,50,10,67,3,1.04084737325093,0.138527081365713
4,1,1,4,5000,50,10,68,3,0.985681144684615,0.167556629806344
4,1,1,4,5000,50,10,69,3,0.997422257750547,0.074260242017815
4,1,1,4,5000,50,10,70,3,1.0229034368303,0.0867076508120124
4,1,1,4,5000,50,10,71,3,1.11215468329045,0.0787767197354166
4,1,1,4,5000,50,10,72,2,0.897484578867306,0.17532630987566
4,1,1,4,5000,50,10,73,2,0.880431780266595,0.170411518514157
4,1,1,4,5000,50,10,74,2,0.974164833004388,0.0940349053691388
4,1,1,4,5000,50,10,75,2,0.80477374197051,0.249564068636627
4,1,1,4,5000,50,10,76,2,0.956583367059761,0.0987697747456355
4,1,1,4,5000,50,10,77,2,1.05369906154307,0.0776928152053688
4,1,1,4,5000,50,10,78,2,0.946205660494308,0.221548534641139
4,1,1,4,5000,50,10,79,2,1.05394162129665,0.19248916557699
4,1,1,4,5000,50,10,80,2,1.0636156911531,0.210710632560914
4,1,1,4,5000,50,10,81,2,0.913322477135458,0.10014720931136
4,1,1,4,5000,50,10,82,2,1.15752140711027,0.142969828390935
4,1,1,4,5000,50,10,83,2,0.97954900366939,0.119255225115471
