"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,2,0.58,4,4000,100,5,2,381,1.48224135031815,1.44685755848988
4,2,0.58,4,4000,100,5,3,247,2.30020947755277,0.611690156475896
4,2,0.58,4,4000,100,5,4,181,2.19965989672817,0.568767640941894
4,2,0.58,4,4000,100,5,5,141,2.31687762952461,0.862753957207861
4,2,0.58,4,4000,100,5,6,114,1.83629118151666,0.366814258180072
4,2,0.58,4,4000,100,5,7,95,1.93756539378518,0.55123734397154
4,2,0.58,4,4000,100,5,8,81,1.96785822044142,0.256415114959427
4,2,0.58,4,4000,100,5,9,69,1.77340563019002,0.21596848492558
4,2,0.58,4,4000,100,5,10,61,1.84888877662038,0.347602342456793
4,2,0.58,4,4000,100,5,11,53,2.22133838162129,0.13313244211341
4,2,0.58,4,4000,100,5,12,47,2.20758990683252,0.188344439516151
4,2,0.58,4,4000,100,5,13,42,1.82370228886525,0.581099618451938
4,2,0.58,4,4000,100,5,14,38,2.16596854542589,0.181601385795836
4,2,0.58,4,4000,100,5,15,34,2.11831551282529,0.217514770140767
4,2,0.58,4,4000,100,5,16,31,1.92993588760076,0.225662845671454
4,2,0.58,4,4000,100,5,17,28,2.0539027580724,0.155120392749195
4,2,0.58,4,4000,100,5,18,25,2.1230854425415,0.22962276959601
4,2,0.58,4,4000,100,5,19,23,2.02793899183308,0.228535812301957
4,2,0.58,4,4000,100,5,20,21,1.82076098214262,0.200510197513505
4,2,0.58,4,4000,100,5,21,19,1.99504029051836,0.144911482241181
4,2,0.58,4,4000,100,5,22,17,2.00849859093306,0.129624719064158
4,2,0.58,4,4000,100,5,23,15,1.94155614083731,0.13230158480781
4,2,0.58,4,4000,100,5,24,14,2.16713781548686,0.140528961574963
4,2,0.58,4,4000,100,5,25,13,1.98286296531254,0.207407698875682
4,2,0.58,4,4000,100,5,26,11,1.88636447606286,0.0817109286833863
4,2,0.58,4,4000,100,5,27,10,1.97879099585379,0.162378296724551
4,2,0.58,4,4000,100,5,28,9,1.88695267395135,0.136472217311663
4,2,0.58,4,4000,100,5,29,8,2.07619456223901,0.110008200553656
4,2,0.58,4,4000,100,5,30,7,1.8833753074706,0.237791434535821
4,2,0.58,4,4000,100,5,31,6,1.90229092862947,0.172525093748065
4,2,0.58,4,4000,100,5,32,6,2.10917778946426,0.149861643030127
4,2,0.58,4,4000,100,5,33,5,1.95520646001384,0.0994212187632947
4,2,0.58,4,4000,100,5,34,4,1.94650814646515,0.306651596139645
4,2,0.58,4,4000,100,5,35,3,2.13365979729096,0.0939377853897572
4,2,0.58,4,4000,100,5,36,3,2.13387192369291,0.267030555869782
4,2,0.58,4,4000,100,5,37,2,2.10872129475485,0.309782590021674
4,2,0.58,4,4000,100,5,38,2,2.01542332436216,0.189229127501861
