"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,4,1,1,4000,100,5,2,381,3.78679502506021,NA,-0.213204974939788,0,0
4,4,1,1,4000,100,5,3,247,4.67168805378712,0.430614732153808,0.671688053787121,0.666666666666667,1
4,4,1,1,4000,100,5,4,181,3.74132554988579,2.40775825822556,-0.258674450114213,0.666666666666667,1
4,4,1,1,4000,100,5,5,141,3.98359816562042,3.96863603286902,-0.0164018343795789,0.666666666666667,0.666666666666667
4,4,1,1,4000,100,5,6,114,3.48293465927035,0.588057137718349,-0.517065340729651,1,0.666666666666667
4,4,1,1,4000,100,5,7,95,3.80356775335456,0.900464218956471,-0.196432246645442,1,1
4,4,1,1,4000,100,5,8,81,3.4483661267875,0.439475318520792,-0.5516338732125,1,1
4,4,1,1,4000,100,5,9,69,3.78969549532634,0.141488335972641,-0.210304504673664,1,1
4,4,1,1,4000,100,5,10,61,3.78708050921435,0.186371248050848,-0.212919490785652,1,1
4,4,1,1,4000,100,5,11,53,3.8939476299292,0.108186597727455,-0.1060523700708,1,1
4,4,1,1,4000,100,5,12,47,4.18804922126406,0.932754759972009,0.188049221264063,0.666666666666667,1
4,4,1,1,4000,100,5,13,42,3.10226469903732,0.349036861453691,-0.897735300962679,0.333333333333333,1
4,4,1,1,4000,100,5,14,38,3.86376839475334,0.983882800065944,-0.136231605246659,0.333333333333333,1
4,4,1,1,4000,100,5,15,34,4.40620754964533,0.269488726781878,0.406207549645335,1,1
4,4,1,1,4000,100,5,16,31,3.69575779601099,0.178584372170725,-0.304242203989008,1,1
4,4,1,1,4000,100,5,17,28,3.67270003740073,0.246784129039706,-0.327299962599267,0.666666666666667,1
4,4,1,1,4000,100,5,18,25,3.92322195414093,0.0916186190442535,-0.0767780458590743,1,1
4,4,1,1,4000,100,5,19,23,4.27590357258497,0.480849610929175,0.275903572584966,0.666666666666667,1
4,4,1,1,4000,100,5,20,21,3.66656600791317,0.320463294223225,-0.33343399208683,1,1
4,4,1,1,4000,100,5,21,19,4.35218975136641,0.0249594722946374,0.35218975136641,1,1
4,4,1,1,4000,100,5,22,17,4.39184500875014,0.0600433299408875,0.39184500875014,1,1
4,4,1,1,4000,100,5,23,15,4.07514355152197,0.373824836044733,0.0751435515219727,1,1
4,4,1,1,4000,100,5,24,14,4.11784042936443,0.0602313473779419,0.117840429364428,1,1
4,4,1,1,4000,100,5,25,13,4.32940769811125,0.529582653935965,0.329407698111252,0.666666666666667,1
4,4,1,1,4000,100,5,26,11,3.70922985727418,0.090058019576454,-0.290770142725821,0.666666666666667,1
4,4,1,1,4000,100,5,27,10,3.76959150182231,0.102168309854923,-0.230408498177688,1,1
4,4,1,1,4000,100,5,28,9,3.59176367408163,0.419519474999287,-0.408236325918371,0.333333333333333,1
4,4,1,1,4000,100,5,29,8,4.09769172596456,0.0574031245664595,0.0976917259645615,1,1
4,4,1,1,4000,100,5,30,7,4.2686487271538,0.0259057542863209,0.268648727153805,1,1
4,4,1,1,4000,100,5,31,6,3.6387361984034,0.0208589310734727,-0.361263801596604,1,1
4,4,1,1,4000,100,5,32,6,4.08485031362486,0.308299954590214,0.0848503136248597,1,1
4,4,1,1,4000,100,5,33,5,3.8617666224405,0.0260026827136336,-0.138233377559497,1,1
4,4,1,1,4000,100,5,34,4,3.80762561511945,0.0175361287779966,-0.192374384880551,1,1
4,4,1,1,4000,100,5,35,3,3.87996127430528,0.0688977735624606,-0.120038725694722,1,1
4,4,1,1,4000,100,5,36,3,4.05233592868246,0.088595020369552,0.0523359286824583,1,1
4,4,1,1,4000,100,5,37,2,4.37962892215786,0.00676080463930224,0.379628922157859,1,1
4,4,1,1,4000,100,5,38,2,3.97481208175075,0.207243331289803,-0.0251879182492538,1,1
