"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,1,0.58,NA,4000,50,10,2,196,1.3079801580313,NA,0.3079801580313,0,0
4,1,0.58,NA,4000,50,10,3,129,0.530110876771873,0.821830949153665,-0.469889123228127,1,0
4,1,0.58,NA,4000,50,10,4,96,1.44694182391235,0.1943787272297,0.446941823912353,1,0
4,1,0.58,NA,4000,50,10,5,76,1.97809262819035,0.469109581315149,0.978092628190352,0.666666666666667,0
4,1,0.58,NA,4000,50,10,6,62,1.07858143983335,0.214958023659597,0.0785814398333484,1,0
4,1,0.58,NA,4000,50,10,7,53,1.35970772054577,1.05678056666323,0.359707720545767,1,0
4,1,0.58,NA,4000,50,10,8,46,1.2249072639924,0.227567296778402,0.224907263992404,0.666666666666667,0
4,1,0.58,NA,4000,50,10,9,40,0.889438721047109,0.114372509915546,-0.110561278952891,1,0
4,1,0.58,NA,4000,50,10,10,36,0.87711308756621,0.00386697297412568,-0.12288691243379,1,0
4,1,0.58,NA,4000,50,10,11,32,0.675898356920234,0.0812097210618842,-0.324101643079766,1,0
4,1,0.58,NA,4000,50,10,12,29,0.915246928153131,0.0489378317654739,-0.084753071846869,1,0
4,1,0.58,NA,4000,50,10,13,26,0.918492584966068,0.524812690038018,-0.0815074150339323,0.666666666666667,0
4,1,0.58,NA,4000,50,10,14,24,0.410165879819594,0.0635172275914549,-0.589834120180406,0.666666666666667,0
4,1,0.58,NA,4000,50,10,15,22,1.0081892056214,0.26735497544796,0.00818920562140213,1,0
4,1,0.58,NA,4000,50,10,16,21,0.892270008085989,0.212411194682302,-0.107729991914011,0.666666666666667,0
4,1,0.58,NA,4000,50,10,17,19,0.869478815795809,0.0192159565637066,-0.130521184204191,1,0
4,1,0.58,NA,4000,50,10,18,18,1.04792447861753,0.179680723181738,0.0479244786175312,1,0
4,1,0.58,NA,4000,50,10,19,17,1.09260973757599,0.325356097392625,0.092609737575994,0.666666666666667,0
4,1,0.58,NA,4000,50,10,20,16,0.587002197932411,0.0889307597955702,-0.412997802067589,1,0
4,1,0.58,NA,4000,50,10,21,15,0.90557821456584,0.0806074827627737,-0.0944217854341605,1,0
4,1,0.58,NA,4000,50,10,22,14,1.24379964369422,0.0166980043173565,0.243799643694222,1,0
4,1,0.58,NA,4000,50,10,23,13,1.17701475841195,0.186175317437472,0.177014758411951,1,0
4,1,0.58,NA,4000,50,10,24,12,1.19280244983722,0.173440822955218,0.192802449837221,1,0
4,1,0.58,NA,4000,50,10,25,12,0.783719462573411,0.0171106493287801,-0.216280537426589,1,0
4,1,0.58,NA,4000,50,10,26,11,0.982684592570351,0.210402429704967,-0.0173154074296494,1,0
4,1,0.58,NA,4000,50,10,27,10,0.913780459902191,0.101681471675826,-0.0862195400978086,1,0
4,1,0.58,NA,4000,50,10,28,10,1.07169557519365,0.0376019612568333,0.0716955751936454,1,0
4,1,0.58,NA,4000,50,10,29,9,0.752549518946551,0.0041796324781885,-0.247450481053449,1,0
4,1,0.58,NA,4000,50,10,30,9,1.0639722165375,0.150777833480148,0.063972216537499,0.666666666666667,0
4,1,0.58,NA,4000,50,10,31,8,0.9883508221801,0.111947195440904,-0.0116491778199004,1,0
4,1,0.58,NA,4000,50,10,32,8,0.783900276002478,0.0950852391643336,-0.216099723997522,1,0
4,1,0.58,NA,4000,50,10,33,8,0.777562751593935,0.0383626091245342,-0.222437248406065,1,0
4,1,0.58,NA,4000,50,10,34,7,0.963055037004778,0.0390616712186022,-0.0369449629952222,1,0
4,1,0.58,NA,4000,50,10,35,7,1.06761468741129,0.0105185004817031,0.0676146874112906,1,0
4,1,0.58,NA,4000,50,10,36,7,1.36814724910258,0.0683308518082692,0.368147249102579,1,0
4,1,0.58,NA,4000,50,10,37,6,1.1450890702985,0.0179733664870355,0.145089070298495,1,0
4,1,0.58,NA,4000,50,10,38,6,0.788566816784681,0.00542458493489098,-0.211433183215319,1,0
4,1,0.58,NA,4000,50,10,39,6,1.09990077213934,0.0897495529797663,0.0999007721393352,1,0
4,1,0.58,NA,4000,50,10,40,6,0.80977060944091,0.0397358116948252,-0.19022939055909,1,0
4,1,0.58,NA,4000,50,10,41,5,1.11324381340781,0.0300746861184654,0.113243813407814,1,0
4,1,0.58,NA,4000,50,10,42,5,0.930274747757698,0.0351246291172845,-0.069725252242302,1,0
4,1,0.58,NA,4000,50,10,43,5,1.12575839179149,0.0578493727872271,0.125758391791489,1,0
4,1,0.58,NA,4000,50,10,44,5,1.16838129998383,0.124845828435764,0.16838129998383,0.666666666666667,0
4,1,0.58,NA,4000,50,10,45,4,1.00622886520506,0.0499671262097035,0.00622886520505883,1,0
4,1,0.58,NA,4000,50,10,46,4,0.833863441795449,0.00538573840829197,-0.166136558204551,1,0
4,1,0.58,NA,4000,50,10,47,4,0.936380536463062,0.0200450197139177,-0.0636194635369379,1,0
4,1,0.58,NA,4000,50,10,48,4,1.14608694336028,0.0416476084841164,0.146086943360275,1,0
4,1,0.58,NA,4000,50,10,49,4,0.980144499437487,0.0200923067369913,-0.0198555005625127,1,0
4,1,0.58,NA,4000,50,10,50,4,1.04488686920051,0.0197213191290505,0.0448868692005133,1,0
4,1,0.58,NA,4000,50,10,51,3,1.05441686529261,0.0101401348483486,0.0544168652926071,1,0
4,1,0.58,NA,4000,50,10,52,3,1.07965434054766,0.0367712065551524,0.0796543405476628,1,0
4,1,0.58,NA,4000,50,10,53,3,1.07910568935179,0.0149195243205113,0.0791056893517883,1,0
4,1,0.58,NA,4000,50,10,54,3,0.907926829009047,0.0331526468514205,-0.0920731709909527,1,0
4,1,0.58,NA,4000,50,10,55,3,0.799777234041852,0.0026174059651936,-0.200222765958148,1,0
4,1,0.58,NA,4000,50,10,56,3,1.12974090648428,0.0670973407540377,0.12974090648428,0.666666666666667,0
4,1,0.58,NA,4000,50,10,57,3,1.09166753536965,0.00549969196454419,0.091667535369649,1,0
4,1,0.58,NA,4000,50,10,58,2,0.956506215454698,0.0316234009998739,-0.0434937845453024,1,0
4,1,0.58,NA,4000,50,10,59,2,0.982314767367698,0.00232866072965571,-0.0176852326323017,1,0
4,1,0.58,NA,4000,50,10,60,2,1.06659891947619,0.0335918472189082,0.0665989194761887,1,0
4,1,0.58,NA,4000,50,10,61,2,1.00552219193741,0.0223738335792014,0.00552219193741355,1,0
4,1,0.58,NA,4000,50,10,62,2,0.97600580791551,0.024862471182977,-0.0239941920844896,1,0
4,1,0.58,NA,4000,50,10,63,2,0.897141773779771,0.0659648527342525,-0.102858226220229,1,0
4,1,0.58,NA,4000,50,10,64,2,0.981545065104802,0.0505481218302639,-0.0184549348951981,1,0
4,1,0.58,NA,4000,50,10,65,2,0.912064649379996,0.0237606880730123,-0.0879353506200036,1,0
4,1,0.58,NA,4000,50,10,66,2,1.01686793568135,0.0354287308527855,0.0168679356813524,1,0
