"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,1,1,NA,4000,100,10,2,191,1.58122912226829,NA,0.581229122268291,0,0
4,1,1,NA,4000,100,10,3,124,1.25088518387163,3.41568568852088,0.250885183871629,0.666666666666667,0
4,1,1,NA,4000,100,10,4,91,1.56514917840557,1.45980193044724,0.565149178405569,0.666666666666667,0
4,1,1,NA,4000,100,10,5,71,1.76260293438464,1.58341228734155,0.762602934384642,0.666666666666667,0
4,1,1,NA,4000,100,10,6,57,1.14473665830915,0.234526412827399,0.144736658309152,1,0
4,1,1,NA,4000,100,10,7,48,0.931914605003659,0.554047522810044,-0.0680853949963408,1,0
4,1,1,NA,4000,100,10,8,41,0.762978058629683,0.439750864575247,-0.237021941370317,1,0
4,1,1,NA,4000,100,10,9,35,0.0599310676733806,0.760789237077013,-0.940068932326619,0.666666666666667,0
4,1,1,NA,4000,100,10,10,31,1.09744720941721,0.202724560101747,0.097447209417207,1,0
4,1,1,NA,4000,100,10,11,27,0.964673231911865,0.154197068779265,-0.0353267680881352,1,0
4,1,1,NA,4000,100,10,12,24,0.400764077538147,0.0664724782090027,-0.599235922461853,1,0
4,1,1,NA,4000,100,10,13,21,0.705180700227987,0.0610163502087109,-0.294819299772013,1,0
4,1,1,NA,4000,100,10,14,19,0.279341043193379,0.351427470468424,-0.720658956806621,0.666666666666667,0
4,1,1,NA,4000,100,10,15,17,1.38507223813503,0.146039843815417,0.385072238135028,1,0
4,1,1,NA,4000,100,10,16,16,1.06965284537359,0.0358175238373727,0.0696528453735858,1,0
4,1,1,NA,4000,100,10,17,14,0.755802622946021,0.298888381567818,-0.244197377053979,1,0
4,1,1,NA,4000,100,10,18,13,0.944198953800305,0.189509519893888,-0.0558010461996952,1,0
4,1,1,NA,4000,100,10,19,12,1.70385603334632,0.424720493140807,0.70385603334632,0.333333333333333,0
4,1,1,NA,4000,100,10,20,11,0.772213831017615,1.10621594997532,-0.227786168982385,0.333333333333333,0
4,1,1,NA,4000,100,10,21,10,1.23904337247009,0.0984707300813009,0.239043372470089,1,0
4,1,1,NA,4000,100,10,22,9,1.06699801768235,0.161490597092935,0.0669980176823488,1,0
4,1,1,NA,4000,100,10,23,8,0.775602083980144,0.656759347385825,-0.224397916019856,0.666666666666667,0
4,1,1,NA,4000,100,10,24,7,1.15180321267667,0.035902502747734,0.151803212676667,1,0
4,1,1,NA,4000,100,10,25,7,0.547099434606079,0.00925262783610774,-0.452900565393921,1,0
4,1,1,NA,4000,100,10,26,6,0.904636940596743,0.56148499722354,-0.0953630594032566,0.666666666666667,0
4,1,1,NA,4000,100,10,27,5,0.758051709647285,0.190427166959046,-0.241948290352715,1,0
4,1,1,NA,4000,100,10,28,5,0.97349575832832,0.0243780160879391,-0.0265042416716805,1,0
4,1,1,NA,4000,100,10,29,4,0.798687143902067,0.033273683519629,-0.201312856097933,1,0
4,1,1,NA,4000,100,10,30,4,1.0326975800734,0.0191795811916096,0.0326975800734002,1,0
4,1,1,NA,4000,100,10,31,3,0.767110463158699,0.0587235923419553,-0.232889536841301,1,0
4,1,1,NA,4000,100,10,32,3,0.37828883605226,0.00465841079028226,-0.62171116394774,1,0
4,1,1,NA,4000,100,10,33,3,1.33216515188703,0.343395641232169,0.332165151887029,0.666666666666667,0
4,1,1,NA,4000,100,10,34,2,1.12122699075036,0.0253381784401012,0.12122699075036,1,0
4,1,1,NA,4000,100,10,35,2,1.09335232725677,0.0365440388924043,0.0933523272567738,1,0
4,1,1,NA,4000,100,10,36,2,1.12273597494369,0.00188924294166784,0.122735974943694,1,0
