"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,2,0.58,NA,4000,100,5,2,381,2.68222830157894,7.14713467627105
4,2,0.58,NA,4000,100,5,3,247,1.70548872818025,0.772128093752885
4,2,0.58,NA,4000,100,5,4,181,2.28745652298608,0.359912365389085
4,2,0.58,NA,4000,100,5,5,141,2.5029359317364,1.25021200055897
4,2,0.58,NA,4000,100,5,6,114,2.22640141401797,0.216557650591524
4,2,0.58,NA,4000,100,5,7,95,1.820324734548,0.349771613753255
4,2,0.58,NA,4000,100,5,8,81,2.01964133095754,0.547203892874406
4,2,0.58,NA,4000,100,5,9,69,1.72250451966574,0.433949604039887
4,2,0.58,NA,4000,100,5,10,61,1.81405409813603,0.480913416750037
4,2,0.58,NA,4000,100,5,11,53,1.82085479279185,0.260696941466694
4,2,0.58,NA,4000,100,5,12,47,1.66787965077289,0.00698643593297853
4,2,0.58,NA,4000,100,5,13,42,1.82631061463034,0.0423621872506414
4,2,0.58,NA,4000,100,5,14,38,1.8018470441939,0.219596589818088
4,2,0.58,NA,4000,100,5,15,34,1.91878466333022,0.210104646345729
4,2,0.58,NA,4000,100,5,16,31,2.12610451026226,0.0981524102974483
4,2,0.58,NA,4000,100,5,17,28,2.03931307481678,0.329423367605368
4,2,0.58,NA,4000,100,5,18,25,2.17693721640536,0.159196488719549
4,2,0.58,NA,4000,100,5,19,23,2.2808575405933,0.133036491844181
4,2,0.58,NA,4000,100,5,20,21,1.84951206662202,0.128795831741044
4,2,0.58,NA,4000,100,5,21,19,1.9524678285495,0.102223737350731
4,2,0.58,NA,4000,100,5,22,17,1.92435797356806,0.175475117311703
4,2,0.58,NA,4000,100,5,23,15,2.48634031382364,0.0313320625130957
4,2,0.58,NA,4000,100,5,24,14,2.10914843808616,0.0884795647777468
4,2,0.58,NA,4000,100,5,25,13,2.08703125747834,0.1387014261482
4,2,0.58,NA,4000,100,5,26,11,1.9473055762826,0.111276145088879
4,2,0.58,NA,4000,100,5,27,10,1.83825890444006,0.0405037906534515
4,2,0.58,NA,4000,100,5,28,9,1.91549389279416,0.132593623488586
4,2,0.58,NA,4000,100,5,29,8,1.87118391167028,0.0109971600518979
4,2,0.58,NA,4000,100,5,30,7,1.84857230586788,0.0251389667788871
4,2,0.58,NA,4000,100,5,31,6,1.93202944227807,0.114452028942441
4,2,0.58,NA,4000,100,5,32,6,1.75244700416891,0.115444361908135
4,2,0.58,NA,4000,100,5,33,5,1.98726671854273,0.0206970715548495
4,2,0.58,NA,4000,100,5,34,4,1.86387815939928,0.082051997370665
4,2,0.58,NA,4000,100,5,35,3,2.05822274561621,0.112251167860582
4,2,0.58,NA,4000,100,5,36,3,2.15024228989773,0.014192987729828
4,2,0.58,NA,4000,100,5,37,2,1.93433948992441,0.0855261628469751
4,2,0.58,NA,4000,100,5,38,2,1.94714775822386,0.128220014754085
