"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,2,1,4,4000,100,5,2,381,1.9659859823483,2.84649113321041,-0.0340140176516992,0.204545454545455,0.07
4,2,1,4,4000,100,5,3,247,2.17018219662397,1.3169810431817,0.170182196623967,0.632911392405063,0.48
4,2,1,4,4000,100,5,4,181,2.03008922117456,1.33003627238882,0.0300892211745629,0.705882352941176,0.45
4,2,1,4,4000,100,5,5,141,2.08424611063514,1.15071024193326,0.0842461106351418,0.739130434782609,0.54
4,2,1,4,4000,100,5,6,114,2.04692945293066,0.63234876790703,0.0469294529306556,0.86734693877551,0.62
4,2,1,4,4000,100,5,7,95,1.95480546861094,0.847089728954326,-0.0451945313890563,0.87,0.61
4,2,1,4,4000,100,5,8,81,1.92754693874195,0.566644224241806,-0.0724530612580523,0.93,0.62
4,2,1,4,4000,100,5,9,69,1.94597415329908,0.517470665672069,-0.0540258467009234,0.868686868686869,0.79
4,2,1,4,4000,100,5,10,61,1.91815691859042,0.435704232092641,-0.0818430814095796,0.91,0.76
4,2,1,4,4000,100,5,11,53,2.05750280606196,0.374272335999027,0.0575028060619567,0.92,0.92
4,2,1,4,4000,100,5,12,47,2.09173746574979,0.476663969252948,0.0917374657497905,0.92,0.89
4,2,1,4,4000,100,5,13,42,1.95124480679761,0.486584179312963,-0.048755193202392,0.87,0.87
4,2,1,4,4000,100,5,14,38,1.98393422426352,0.292245453567737,-0.0160657757364804,0.95,0.92
4,2,1,4,4000,100,5,15,34,2.04617037944203,0.377132399333226,0.0461703794420312,0.87,0.94
4,2,1,4,4000,100,5,16,31,2.04592967565988,0.307924072170161,0.0459296756598842,0.93,0.94
4,2,1,4,4000,100,5,17,28,2.04596588375888,0.269038324792802,0.0459658837588806,0.96,0.99
4,2,1,4,4000,100,5,18,25,2.02832096147326,0.260222786709321,0.0283209614732622,0.95,0.96
4,2,1,4,4000,100,5,19,23,2.00111654987953,0.29281322694106,0.00111654987953091,0.89,0.96
4,2,1,4,4000,100,5,20,21,1.93833092028804,0.25218698889303,-0.0616690797119612,0.94,0.95
4,2,1,4,4000,100,5,21,19,2.05335260828495,0.241212225204475,0.0533526082849467,0.93,0.96
4,2,1,4,4000,100,5,22,17,1.97774073989624,0.283258180363517,-0.0222592601037628,0.91,0.97
4,2,1,4,4000,100,5,23,15,2.07271103820191,0.18474002041151,0.072711038201914,0.99,0.98
4,2,1,4,4000,100,5,24,14,2.09029852828975,0.236302661722468,0.0902985282897459,0.94,1
4,2,1,4,4000,100,5,25,13,1.96749773845313,0.224373299912792,-0.0325022615468671,0.94,0.99
4,2,1,4,4000,100,5,26,11,1.9308869361088,0.206023831412079,-0.0691130638911972,0.9,0.99
4,2,1,4,4000,100,5,27,10,2.07651320496194,0.235346885124002,0.0765132049619424,0.92,1
4,2,1,4,4000,100,5,28,9,2.07646305107882,0.210153916520118,0.076463051078822,0.94,1
4,2,1,4,4000,100,5,29,8,1.97897020536304,0.182419368771565,-0.0210297946369555,0.96,0.99
4,2,1,4,4000,100,5,30,7,1.94814668439398,0.252232754639067,-0.0518533156060179,0.92,0.97
4,2,1,4,4000,100,5,31,6,1.8978871895382,0.291828764152353,-0.102112810461803,0.92,0.98
4,2,1,4,4000,100,5,32,6,2.087396089928,0.199786311823695,0.0873960899279962,0.96,1
4,2,1,4,4000,100,5,33,5,1.9850427330451,0.187723916083285,-0.0149572669549007,0.95,0.99
4,2,1,4,4000,100,5,34,4,1.94496427848174,0.244719425035685,-0.055035721518262,0.97,0.97
4,2,1,4,4000,100,5,35,3,2.04919388502722,0.260386898726738,0.0491938850272207,0.94,1
4,2,1,4,4000,100,5,36,3,2.02642433554894,0.271975798468468,0.026424335548938,0.9,0.96
4,2,1,4,4000,100,5,37,2,2.01340908329951,0.350581991046833,0.0134090832995142,0.93,0.93
4,2,1,4,4000,100,5,38,2,2.01056958254765,0.303620851957396,0.0105695825476522,0.94,0.94
