"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,4,0.58,NA,4000,100,10,2,191,3.68804698213542,1.16135728869449,-0.311953017864579,0.0196078431372549,0.51
4,4,0.58,NA,4000,100,10,3,124,4.20328243410981,0.683407908847095,0.203282434109807,0.538461538461539,0.78
4,4,0.58,NA,4000,100,10,4,91,4.00998713296244,0.94439218175995,0.00998713296244169,0.724137931034483,0.87
4,4,0.58,NA,4000,100,10,5,71,3.84950608155156,0.605338248610172,-0.150493918448438,0.774193548387097,0.93
4,4,0.58,NA,4000,100,10,6,57,4.09073224829229,0.546258505234106,0.0907322482922899,0.802083333333333,0.96
4,4,0.58,NA,4000,100,10,7,48,3.94523909910876,0.377692246121311,-0.0547609008912384,0.898989898989899,0.99
4,4,0.58,NA,4000,100,10,8,41,4.03100504615285,0.452464181198103,0.031005046152849,0.91,0.99
4,4,0.58,NA,4000,100,10,9,35,4.02787151960609,0.351021514435058,0.0278715196060944,0.909090909090909,0.99
4,4,0.58,NA,4000,100,10,10,31,3.94689864399455,0.19928846462481,-0.0531013560054543,0.96969696969697,0.99
4,4,0.58,NA,4000,100,10,11,27,4.04374506098728,0.280844107133254,0.043745060987284,0.87,1
4,4,0.58,NA,4000,100,10,12,24,3.95383327573166,0.206593804362597,-0.0461667242683417,0.92,1
4,4,0.58,NA,4000,100,10,13,21,4.0179604222259,0.20104926154949,0.0179604222258973,0.92,1
4,4,0.58,NA,4000,100,10,14,19,3.981720989711,0.176356828442261,-0.0182790102889978,0.94,1
4,4,0.58,NA,4000,100,10,15,17,3.97185336269085,0.150623975092867,-0.0281466373091486,0.95,1
4,4,0.58,NA,4000,100,10,16,16,4.07701158060243,0.111248088063567,0.0770115806024254,0.94,1
4,4,0.58,NA,4000,100,10,17,14,3.92786273421692,0.153265748555736,-0.0721372657830788,0.95,1
4,4,0.58,NA,4000,100,10,18,13,3.95364776437542,0.127739925403643,-0.04635223562458,0.93,1
4,4,0.58,NA,4000,100,10,19,12,4.00869617486683,0.163278596929167,0.0086961748668255,0.93,1
4,4,0.58,NA,4000,100,10,20,11,4.03889033984499,0.124997045075372,0.0388903398449871,0.95,1
4,4,0.58,NA,4000,100,10,21,10,4.03333604699413,0.119497134143835,0.0333360469941315,0.93,1
4,4,0.58,NA,4000,100,10,22,9,3.98489087051956,0.124543597888556,-0.0151091294804355,0.92,1
4,4,0.58,NA,4000,100,10,23,8,3.98642206371127,0.104480207404254,-0.0135779362887272,0.93,1
4,4,0.58,NA,4000,100,10,24,7,3.98684773162076,0.102254825131393,-0.0131522683792431,0.91,1
4,4,0.58,NA,4000,100,10,25,7,3.98178377732232,0.0988031284345655,-0.0182162226776761,0.94,1
4,4,0.58,NA,4000,100,10,26,6,3.99451126192218,0.101139475249357,-0.00548873807781947,0.94,1
4,4,0.58,NA,4000,100,10,27,5,3.94417597774578,0.0751095110630396,-0.0558240222542219,0.95,1
4,4,0.58,NA,4000,100,10,28,5,3.95879865423102,0.0944998950758423,-0.0412013457689824,0.94,1
4,4,0.58,NA,4000,100,10,29,4,4.07384969854826,0.0935065009883391,0.0738496985482611,0.9,1
4,4,0.58,NA,4000,100,10,30,4,4.01392865202232,0.0790765297224017,0.0139286520223196,0.95,1
4,4,0.58,NA,4000,100,10,31,3,4.03187983911483,0.073572770761351,0.0318798391148301,0.95,1
4,4,0.58,NA,4000,100,10,32,3,4.00023020980891,0.0662793530742453,0.000230209808911752,0.98,1
4,4,0.58,NA,4000,100,10,33,3,3.98865192410293,0.073611076731855,-0.0113480758970739,0.92,1
4,4,0.58,NA,4000,100,10,34,2,4.02577146892416,0.0575050076865247,0.0257714689241579,0.94,1
4,4,0.58,NA,4000,100,10,35,2,4.03247006770499,0.0690116053873235,0.0324700677049901,0.9,1
4,4,0.58,NA,4000,100,10,36,2,3.97125765053382,0.0700068456273645,-0.0287423494661838,0.97,1
