"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,4,1,NA,4000,100,5,2,381,3.90852449589079,2.0601449424343,-0.0914755041092095,0.0377358490566038,0.53
4,4,1,NA,4000,100,5,3,247,4.10602627210611,1.30055594569222,0.106026272106107,0.608695652173913,0.69
4,4,1,NA,4000,100,5,4,181,4.21344060007157,0.963210168421528,0.213440600071574,0.844444444444444,0.89
4,4,1,NA,4000,100,5,5,141,4.01286774860064,0.959368474478599,0.0128677486006392,0.793478260869565,0.91
4,4,1,NA,4000,100,5,6,114,4.13573389219849,0.943632389304434,0.13573389219849,0.828282828282828,0.98
4,4,1,NA,4000,100,5,7,95,3.96468343630762,0.69884098251109,-0.0353165636923842,0.909090909090909,0.99
4,4,1,NA,4000,100,5,8,81,4.01924091612043,0.579465970289003,0.0192409161204328,0.92,0.99
4,4,1,NA,4000,100,5,9,69,3.90063229548271,0.432612360502338,-0.0993677045172943,0.929292929292929,0.99
4,4,1,NA,4000,100,5,10,61,4.12239971194318,0.481058321419764,0.122399711943176,0.878787878787879,0.99
4,4,1,NA,4000,100,5,11,53,3.94917860965983,0.319612767534274,-0.0508213903401731,0.91,1
4,4,1,NA,4000,100,5,12,47,3.93073512481519,0.407246518924935,-0.0692648751848108,0.91,1
4,4,1,NA,4000,100,5,13,42,3.99989102104599,0.389247664212785,-0.000108978954007188,0.89,1
4,4,1,NA,4000,100,5,14,38,3.87589070564635,0.357069325970786,-0.124109294353648,0.89,1
4,4,1,NA,4000,100,5,15,34,4.06249526285713,0.388499996765143,0.06249526285713,0.89,1
4,4,1,NA,4000,100,5,16,31,3.93499553575122,0.252902519007667,-0.0650044642487813,0.93,1
4,4,1,NA,4000,100,5,17,28,4.03121922591054,0.259440557921334,0.0312192259105446,0.93,1
4,4,1,NA,4000,100,5,18,25,3.97547654848718,0.167704848055119,-0.0245234515128199,0.97,1
4,4,1,NA,4000,100,5,19,23,3.93902530266912,0.243110004738143,-0.060974697330876,0.95,1
4,4,1,NA,4000,100,5,20,21,3.8952544054208,0.266079173951178,-0.104745594579203,0.92,1
4,4,1,NA,4000,100,5,21,19,3.9536831220825,0.22304614423058,-0.0463168779175001,0.9,1
4,4,1,NA,4000,100,5,22,17,3.9837374546247,0.197230424956577,-0.0162625453753011,0.93,1
4,4,1,NA,4000,100,5,23,15,3.94842729488084,0.174465107733557,-0.0515727051191646,0.91,1
4,4,1,NA,4000,100,5,24,14,4.06580426930779,0.151528265309631,0.0658042693077867,0.93,1
4,4,1,NA,4000,100,5,25,13,4.00419408901916,0.16984436196907,0.00419408901916096,0.96,1
4,4,1,NA,4000,100,5,26,11,3.92351081960071,0.174727992084886,-0.0764891803992858,0.94,1
4,4,1,NA,4000,100,5,27,10,3.99267248080685,0.175594487892669,-0.00732751919314945,0.95,1
4,4,1,NA,4000,100,5,28,9,4.05863015794738,0.162076033422695,0.0586301579473778,0.93,1
4,4,1,NA,4000,100,5,29,8,4.01913992377177,0.14423856032516,0.0191399237717746,0.93,1
4,4,1,NA,4000,100,5,30,7,3.99314342874091,0.170524187131741,-0.00685657125908534,0.9,1
4,4,1,NA,4000,100,5,31,6,3.95281740598547,0.120962657596669,-0.047182594014529,0.97,1
4,4,1,NA,4000,100,5,32,6,4.03550664958536,0.104953831302987,0.0355066495853604,0.96,1
4,4,1,NA,4000,100,5,33,5,3.94410059820905,0.130583276844331,-0.0558994017909504,0.92,1
4,4,1,NA,4000,100,5,34,4,4.01836144990676,0.13468396150599,0.0183614499067621,0.92,1
4,4,1,NA,4000,100,5,35,3,4.0308997132768,0.124479758716624,0.0308997132768019,0.95,1
4,4,1,NA,4000,100,5,36,3,3.98311615456746,0.127265225044935,-0.0168838454325448,0.94,1
4,4,1,NA,4000,100,5,37,2,3.92954806644967,0.0768465949691383,-0.0704519335503284,0.97,1
4,4,1,NA,4000,100,5,38,2,3.97513180454313,0.125779543838728,-0.0248681954568704,0.93,1
